TR_CODE;REPORTING_DATE;REGULATION_REFERENCE;NAME;DESCRIPTION;CPU/RAM;DATE;MIN_USAGE;AVG_USAGE;MAX_USAGE;INCIDENT_RELATED;TR_INCIDENT_ID
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-01;0.0050;0.0210;0.2570;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-01;0.3603;0.3662;0.3794;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-02;0.0050;0.0302;0.6940;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-02;0.3498;0.3814;0.4335;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-03;0.0050;0.0303;0.7600;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-03;0.3342;0.3751;0.4462;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-04;0.0050;0.0340;0.6670;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-04;0.2269;0.3537;0.4347;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-05;0.0020;0.0314;0.6480;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-05;0.1518;0.3370;0.4407;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-06;0.0050;0.0277;0.6080;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-06;0.2446;0.2816;0.3470;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-07;0.0050;0.0197;0.0900;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-07;0.2921;0.2951;0.3069;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-08;0.0050;0.0199;0.3140;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-08;0.2934;0.2980;0.3105;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-09;0.0050;0.0206;0.4200;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-09;0.1934;0.2749;0.3736;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-10;0.0050;0.0344;0.5100;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-10;0.1999;0.2728;0.3863;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-11;0.0020;0.0275;0.5690;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-11;0.0501;0.2530;0.3589;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-12;0.0060;0.0276;0.6180;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-12;0.1550;0.2611;0.4261;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-13;0.0070;0.0386;0.6480;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-13;0.2090;0.2890;0.4010;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-14;0.0060;0.0185;0.3040;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-14;0.2534;0.2921;0.3162;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-15;0.0060;0.0188;0.3050;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-15;0.3050;0.3119;0.3260;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-16;0.0020;0.0276;0.6400;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-16;0.1359;0.3051;0.3665;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-17;0.0060;0.0173;0.4430;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-17;0.1516;0.2413;0.3549;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-18;0.0060;0.0324;0.7920;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-18;0.2017;0.2397;0.4648;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-19;0.0060;0.0364;0.4740;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-19;0.2109;0.2776;0.4484;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;CPU;2024-01-20;0.0070;0.0451;0.7390;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;RAM;2024-01-20;0.2264;0.3158;0.5457;NO;
