"TR_CODE","REPORTING_DATE","REGULATION_REFERENCE","DATA_CENTER_LOCATION","DATABASE_SERVER_OR_PLATFORM","DATE","CAPACITY","USED_CAPACITY","AVAILABLE_CAPACITY","UTILIZATION","INCIDENT_RELATED","TR_INCIDENT_ID"
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/01","17.1","0.78700066","16.313","0.04602343","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/02","17.1","0.80200005","16.298","0.046900585","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/03","17.104","0.8199997","16.284","0.047941983","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/04","17.105","0.8199997","16.285","0.04793918","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/05","17.099","0.8260002","16.273","0.048306927","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/06","17.073","0.8180008","16.255","0.047911953","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/07","17.075","0.83600044","16.239","0.048960492","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/08","17.076","0.828001","16.248","0.04848917","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/09","17.09","0.82299995","16.267","0.048156813","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/10","17.116","0.82099915","16.295","0.047966767","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/11","17.107","0.88700104","16.22","0.05185018","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/12","17.162","0.9870014","16.175","0.05751086","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/13","17.154","1.0149994","16.139","0.05916984","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/14","17.112","1.0159988","16.096","0.059373472","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/15","17.111","1.0179996","16.093","0.059493873","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/16","17.121","1.019001","16.102","0.05951761","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/17","17.129","1.0429993","16.086","0.060890846","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/18","17.122","1.0019989","16.12","0.058521137","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/19","17.139","1.0529995","16.086","0.061438795","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/20","17.14","1.6729994","15.467","0.0976079","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/21","17.124","1.7300005","15.394","0.101027824","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/22","17.112","1.7209997","15.391","0.10057268","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/23","17.118","1.7449999","15.373","0.10193947","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/24","17.142","1.7519999","15.39","0.1022051","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/25","17.174","1.6009998","15.573","0.093222305","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/26","17.178","1.6039991","15.574","0.0933752","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/27","17.153","1.0310001","16.122","0.060106114","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/28","17.124","1.0179996","16.106","0.059448704","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/29","17.124","1.0559998","16.068","0.06166782","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/30","17.131","1.0650005","16.066","0.06216803","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/01/31","17.166","1.1289997","16.037","0.06576952","NO",""
"TRRGS","2024-02-15","EMIR","Cloudera","Cloudera data warehouse","2024/02/01","17.19","1.2320004","15.958","0.07166959","NO",""
