TR_CODE;REPORTING_DATE;REGULATION_REFERENCE;DATA_CENTER_LOCATION;DATABASE_SERVER_OR_PLATFORM;DATE;CAPACITY;USED_CAPACITY;AVAILABLE_CAPACITY;UTILIZATION;INCIDENT_RELATED;SLA_BREACH_ID
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-01;13.3012;1.1997;12.1015;0.0902;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-02;13.3012;1.1837;12.1175;0.0890;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-03;13.3012;1.1893;12.1119;0.0894;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-04;13.3012;1.1968;12.1044;0.0900;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-05;13.3012;1.2026;12.0986;0.0904;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-06;13.3012;1.1680;12.1332;0.0878;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-07;13.3012;1.1386;12.1626;0.0856;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-08;13.3012;1.1095;12.1917;0.0834;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-09;13.3012;1.0914;12.2098;0.0821;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-10;13.3012;1.1187;12.1825;0.0841;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-11;13.3012;1.1317;12.1695;0.0851;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-12;13.3012;1.1475;12.1537;0.0863;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-13;13.3012;1.1531;12.1481;0.0867;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-14;13.3012;1.1474;12.1538;0.0863;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-15;13.3012;1.2000;12.1012;0.0902;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-16;13.3012;1.2079;12.0933;0.0908;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-17;13.3012;1.1860;12.1152;0.0892;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-18;13.3012;1.1830;12.1182;0.0889;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-19;13.3012;1.1992;12.1020;0.0902;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-20;13.3012;1.2332;12.0680;0.0927;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-21;13.3012;1.2256;12.0756;0.0921;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-22;13.3012;1.2259;12.0753;0.0922;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-23;13.3012;1.2595;12.0417;0.0947;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-24;13.3012;1.2998;12.0014;0.0977;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-25;13.3012;1.3017;11.9995;0.0979;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-26;13.3012;1.3171;11.9841;0.0990;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-27;17.0576;1.9862;15.0714;0.1164;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-28;18.5953;0.5297;18.0656;0.0285;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-29;19.3932;1.4176;17.9756;0.0731;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-30;19.3932;1.5131;17.8801;0.0780;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-03-31;19.3932;1.5539;17.8393;0.0801;NO;
TRRGS;2024-03-15;EMIR;Cloudera;Cloudera data warehouse;2024-04-01;19.3932;1.6337;17.7595;0.0842;NO;
