TR_CODE;REPORTING_DATE;REGULATION_REFERENCE;REPORT_NAME;REPORT_TYPE;REPORT_GENERATION_TIME;REPORT_COMPLETION_TIME;REPORT_PUBLICATION_TIME;DATE;SLA;DIFFERENCE;TR_INCIDENT_ID
TRRGS;2024-03-15;EMIR;"TAR030";PARTICIPANT;1900-01-01T00:00:00Z;2024-02-02T05:12:55Z;;2024-02-02;2024-02-03T06:00:00Z;;
TRRGS;2024-03-15;EMIR;"ESMAS-TAR030 TRACE";ESMA;1900-01-01T04:12:55Z;2024-02-02T05:12:55Z;;2024-02-02;2024-02-03T12:00:00Z;;
TRRGS;2024-03-15;EMIR;"TAR030";PARTICIPANT;1900-01-01T00:00:00Z;2024-02-03T05:12:50Z;;2024-02-03;2024-02-04T06:00:00Z;;
TRRGS;2024-03-15;EMIR;"RJC092";PARTICIPANT;1900-01-01T00:00:00Z;2024-02-03T06:12:55Z;;2024-02-03;2024-02-04T06:00:00Z;;
TRRGS;2024-03-15;EMIR;"WRN106";PARTICIPANT;1900-01-01T00:00:00Z;2024-02-03T06:12:55Z;;2024-02-03;2024-02-04T06:00:00Z;;
TRRGS;2024-03-15;EMIR;"ESMAS-TAR030 TRACE";ESMA;1900-01-01T05:12:50Z;2024-02-03T05:12:50Z;;2024-02-03;2024-02-04T12:00:00Z;;
TRRGS;2024-03-15;EMIR;"eudrif3q0000-RJC092 Portal XML";NCA;1900-01-01T13:12:55Z;2024-02-04T13:12:55Z;;2024-02-03;2024-02-04T12:00:00Z;1.21;
TRRGS;2024-03-15;EMIR;"TSR109";PARTICIPANT;1900-01-01T00:00:00Z;2024-02-04T07:12:55Z;;2024-02-04;2024-02-05T06:00:00Z;;
TRRGS;2024-03-15;EMIR;"eudrif3q0000-WRN106 Portal XML";NCA;1900-01-01T13:12:55Z;2024-02-04T13:12:55Z;;2024-02-04;2024-02-05T12:00:00Z;;
TRRGS;2024-03-15;EMIR;"ESMAS-TSR109 TRACE";ESMA;1900-01-01T07:12:55Z;2024-02-04T07:12:55Z;;2024-02-04;2024-02-05T12:00:00Z;;
TRRGS;2024-03-15;EMIR;"trdrif3q0000-RL078";TR;1900-01-01T07:12:55Z;2024-02-04T07:12:55Z;;2024-02-04;2024-02-05T12:00:00Z;;
TRRGS;2024-03-15;EMIR;"IMDT092";PARTICIPANT;1900-01-01T00:05:00Z;2024-02-05T05:05:00Z;;2024-02-05;2024-02-06T06:00:00Z;;
TRRGS;2024-03-15;EMIR;"TSR107";PARTICIPANT;1900-01-01T00:00:00Z;2024-02-05T08:12:55Z;;2024-02-05;2024-02-06T06:00:00Z;;
TRRGS;2024-03-15;EMIR;"REC091";PARTICIPANT;1900-01-01T00:05:00Z;2024-02-05T05:10:00Z;;2024-02-05;2024-02-06T06:00:00Z;;
TRRGS;2024-03-15;EMIR;"REC091";PARTICIPANT;1900-01-01T00:00:00Z;2024-02-05T05:10:00Z;;2024-02-05;2024-02-06T06:00:00Z;;
TRRGS;2024-03-15;EMIR;"SVERIGES RIKSBANK-REC091 Portal XML";NCA;1900-01-01T05:00:00Z;2024-02-05T05:00:00Z;;2024-02-05;2024-02-06T12:00:00Z;;
TRRGS;2024-03-15;EMIR;"ESMAS-TSR107 TRACE";ESMA;1900-01-01T08:12:55Z;2024-02-05T08:12:55Z;;2024-02-05;2024-02-06T12:00:00Z;;
TRRGS;2024-03-15;EMIR;"NATIONAL BANK OF ROMANIA-TSR109 Portal XML";NCA;1900-01-01T08:12:55Z;2024-02-05T08:12:55Z;;2024-02-05;2024-02-06T12:00:00Z;;
