TR_CODE;REPORTING_DATE;REGULATION_REFERENCE;REPORT_NAME;REPORT_TYPE;REPORT_GENERATION_TIME;REPORT_COMPLETION_TIME;REPORT_PUBLICATION_TIME;DATE;SLA;DIFFERENCE;TR_INCIDENT_ID
TRRGS;2024-02-29;EMIR;"TAR030";PARTICIPANT;1900-01-01T00:00:00Z;2024-02-02T05:12:55Z;2024-02-02T05:12:55Z;02-02-2024;2024-02-03T06:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TAR030";ESMA;1900-01-01T05:12:55Z;2024-02-02T05:12:55Z;2024-02-02T05:12:55Z;02-02-2024;2024-02-03T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TAR030";ESMA;1900-01-01T05:12:55Z;2024-02-02T05:12:55Z;2024-02-02T05:12:55Z;02-02-2024;2024-02-03T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TAR030";ESMA;1900-01-01T05:12:55Z;2024-02-02T05:12:55Z;2024-02-02T05:12:55Z;02-02-2024;2024-02-03T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TAR030";ESMA;1900-01-01T05:12:55Z;2024-02-02T05:12:55Z;2024-02-02T05:12:55Z;02-02-2024;2024-02-03T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TAR030";ESMA;1900-01-01T05:12:55Z;2024-02-02T05:12:55Z;2024-02-02T05:12:55Z;02-02-2024;2024-02-03T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TAR030";ESMA;1900-01-01T05:12:55Z;2024-02-02T05:12:55Z;2024-02-02T05:12:55Z;02-02-2024;2024-02-03T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TAR030";ESMA;1900-01-01T05:12:55Z;2024-02-02T05:12:55Z;2024-02-02T05:12:55Z;02-02-2024;2024-02-03T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TAR030";ESMA;1900-01-01T05:12:55Z;2024-02-02T05:12:55Z;2024-02-02T05:12:55Z;02-02-2024;2024-02-03T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TAR030";ESMA;1900-01-01T05:12:55Z;2024-02-02T05:12:55Z;2024-02-02T05:12:55Z;02-02-2024;2024-02-03T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TAR030";ESMA;1900-01-01T05:12:55Z;2024-02-02T05:12:55Z;2024-02-02T05:12:55Z;02-02-2024;2024-02-03T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"TAR030";PARTICIPANT;1900-01-01T00:00:00Z;2024-02-03T05:12:50Z;2024-02-03T05:12:50Z;03-02-2024;2024-02-04T06:00:00Z;;
TRRGS;2024-02-29;EMIR;"RJCT000";PARTICIPANT;1900-01-01T00:00:00Z;2024-02-03T06:12:55Z;2024-02-03T06:12:55Z;03-02-2024;2024-02-04T06:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TAR030";ESMA;1900-01-01T05:12:50Z;2024-02-03T05:12:50Z;2024-02-03T05:12:50Z;03-02-2024;2024-02-04T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TAR030";ESMA;1900-01-01T05:12:50Z;2024-02-03T05:12:50Z;2024-02-03T05:12:50Z;03-02-2024;2024-02-04T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TAR030";ESMA;1900-01-01T05:12:50Z;2024-02-03T05:12:50Z;2024-02-03T05:12:50Z;03-02-2024;2024-02-04T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TAR030";ESMA;1900-01-01T05:12:50Z;2024-02-03T05:12:50Z;2024-02-03T05:12:50Z;03-02-2024;2024-02-04T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TAR030";ESMA;1900-01-01T05:12:50Z;2024-02-03T05:12:50Z;2024-02-03T05:12:50Z;03-02-2024;2024-02-04T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TAR030";ESMA;1900-01-01T05:12:50Z;2024-02-03T05:12:50Z;2024-02-03T05:12:50Z;03-02-2024;2024-02-04T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TAR030";ESMA;1900-01-01T05:12:50Z;2024-02-03T05:12:50Z;2024-02-03T05:12:50Z;03-02-2024;2024-02-04T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TAR030";ESMA;1900-01-01T05:12:50Z;2024-02-03T05:12:50Z;2024-02-03T05:12:50Z;03-02-2024;2024-02-04T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TAR030";ESMA;1900-01-01T05:12:50Z;2024-02-03T05:12:50Z;2024-02-03T05:12:50Z;03-02-2024;2024-02-04T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TAR030";ESMA;1900-01-01T05:12:50Z;2024-02-03T05:12:50Z;2024-02-03T05:12:50Z;03-02-2024;2024-02-04T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"EUDRIRA1051-RJCT000";NCA;1900-01-01T13:12:55Z;2024-02-04T13:12:55Z;2024-02-04T13:12:55Z;03-02-2024;2024-02-04T12:00:00Z;1.21;
TRRGS;2024-02-29;EMIR;"EUDRIRA1051-RJCT000";NCA;1900-01-01T13:12:55Z;2024-02-04T13:12:55Z;2024-02-04T13:12:55Z;03-02-2024;2024-02-04T12:00:00Z;1.21;
TRRGS;2024-02-29;EMIR;"EUDRIRA1051-RJCT000";NCA;1900-01-01T13:12:55Z;2024-02-04T13:12:55Z;2024-02-04T13:12:55Z;03-02-2024;2024-02-04T12:00:00Z;1.21;
TRRGS;2024-02-29;EMIR;"EUDRIRA1051-RJCT000";NCA;1900-01-01T13:12:55Z;2024-02-04T13:12:55Z;2024-02-04T13:12:55Z;03-02-2024;2024-02-04T12:00:00Z;1.21;
TRRGS;2024-02-29;EMIR;"EUDRIRA1051-RJCT000";NCA;1900-01-01T13:12:55Z;2024-02-04T13:12:55Z;2024-02-04T13:12:55Z;03-02-2024;2024-02-04T12:00:00Z;1.21;
TRRGS;2024-02-29;EMIR;"EUDRIRA1051-RJCT000";NCA;1900-01-01T13:12:55Z;2024-02-04T13:12:55Z;2024-02-04T13:12:55Z;03-02-2024;2024-02-04T12:00:00Z;1.21;
TRRGS;2024-02-29;EMIR;"EUDRIRA1051-RJCT000";NCA;1900-01-01T13:12:55Z;2024-02-04T13:12:55Z;2024-02-04T13:12:55Z;03-02-2024;2024-02-04T12:00:00Z;1.21;
TRRGS;2024-02-29;EMIR;"EUDRIRA1051-RJCT000";NCA;1900-01-01T13:12:55Z;2024-02-04T13:12:55Z;2024-02-04T13:12:55Z;03-02-2024;2024-02-04T12:00:00Z;1.21;
TRRGS;2024-02-29;EMIR;"EUDRIRA1051-RJCT000";NCA;1900-01-01T13:12:55Z;2024-02-04T13:12:55Z;2024-02-04T13:12:55Z;03-02-2024;2024-02-04T12:00:00Z;1.21;
TRRGS;2024-02-29;EMIR;"EUDRIRA1051-RJCT000";NCA;1900-01-01T13:12:55Z;2024-02-04T13:12:55Z;2024-02-04T13:12:55Z;03-02-2024;2024-02-04T12:00:00Z;1.21;
TRRGS;2024-02-29;EMIR;"TSR109";PARTICIPANT;1900-01-01T00:00:00Z;2024-02-04T07:12:55Z;2024-02-04T07:12:55Z;04-02-2024;2024-02-05T06:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TSR109";ESMA;1900-01-01T07:12:55Z;2024-02-04T07:12:55Z;2024-02-04T07:12:55Z;04-02-2024;2024-02-05T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TSR109";ESMA;1900-01-01T07:12:55Z;2024-02-04T07:12:55Z;2024-02-04T07:12:55Z;04-02-2024;2024-02-05T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TSR109";ESMA;1900-01-01T07:12:55Z;2024-02-04T07:12:55Z;2024-02-04T07:12:55Z;04-02-2024;2024-02-05T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TSR109";ESMA;1900-01-01T07:12:55Z;2024-02-04T07:12:55Z;2024-02-04T07:12:55Z;04-02-2024;2024-02-05T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TSR109";ESMA;1900-01-01T07:12:55Z;2024-02-04T07:12:55Z;2024-02-04T07:12:55Z;04-02-2024;2024-02-05T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TSR109";ESMA;1900-01-01T07:12:55Z;2024-02-04T07:12:55Z;2024-02-04T07:12:55Z;04-02-2024;2024-02-05T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TSR109";ESMA;1900-01-01T07:12:55Z;2024-02-04T07:12:55Z;2024-02-04T07:12:55Z;04-02-2024;2024-02-05T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TSR109";ESMA;1900-01-01T07:12:55Z;2024-02-04T07:12:55Z;2024-02-04T07:12:55Z;04-02-2024;2024-02-05T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TSR109";ESMA;1900-01-01T07:12:55Z;2024-02-04T07:12:55Z;2024-02-04T07:12:55Z;04-02-2024;2024-02-05T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"ESMAS-TSR109";ESMA;1900-01-01T07:12:55Z;2024-02-04T07:12:55Z;2024-02-04T07:12:55Z;04-02-2024;2024-02-05T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"trdrif3q0000-RL078";TR;1900-01-01T07:12:55Z;2024-02-04T07:12:55Z;2024-02-04T07:12:55Z;04-02-2024;2024-02-05T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"trdrif3q0000-RL078";TR;1900-01-01T07:12:55Z;2024-02-04T07:12:55Z;2024-02-04T07:12:55Z;04-02-2024;2024-02-05T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"trdrif3q0000-RL078";TR;1900-01-01T07:12:55Z;2024-02-04T07:12:55Z;2024-02-04T07:12:55Z;04-02-2024;2024-02-05T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"trdrif3q0000-RL078";TR;1900-01-01T07:12:55Z;2024-02-04T07:12:55Z;2024-02-04T07:12:55Z;04-02-2024;2024-02-05T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"trdrif3q0000-RL078";TR;1900-01-01T07:12:55Z;2024-02-04T07:12:55Z;2024-02-04T07:12:55Z;04-02-2024;2024-02-05T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"trdrif3q0000-RL078";TR;1900-01-01T07:12:55Z;2024-02-04T07:12:55Z;2024-02-04T07:12:55Z;04-02-2024;2024-02-05T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"trdrif3q0000-RL078";TR;1900-01-01T07:12:55Z;2024-02-04T07:12:55Z;2024-02-04T07:12:55Z;04-02-2024;2024-02-05T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"trdrif3q0000-RL078";TR;1900-01-01T07:12:55Z;2024-02-04T07:12:55Z;2024-02-04T07:12:55Z;04-02-2024;2024-02-05T12:00:00Z;;
TRRGS;2024-02-29;EMIR;"trdrif3q0000-RL078";TR;1900-01-01T07:12:55Z;2024-02-04T07:12:55Z;2024-02-04T07:12:55Z;04-02-2024;2024-02-05T12:00:00Z;;
